iter,time,reward,steps,convergence,policy
69,208.53511199999986,73.0,29.0,1.4760537681013375e-08,True
70,286.4508760000035,75.0,27.0,7.1984977978445386e-09,True
71,280.4685249999963,72.0,30.0,3.4983216323780653e-09,True
72,221.37631899999377,63.0,39.0,1.6945165270954021e-09,True
73,231.81031900000448,55.0,47.0,8.182539090739738e-10,True
74,253.02610900000388,72.0,30.0,3.9396041984218755e-10,True
75,272.0339300000063,59.0,43.0,1.8915713440037507e-10,True
76,263.68658999999894,69.0,33.0,9.058354066837637e-11,True
77,255.96949999999907,62.0,40.0,4.32649471804325e-11,True
78,244.5239840000042,74.0,28.0,2.0616397478079307e-11,True
79,321.2894660000032,69.0,33.0,9.809042467168183e-12,True
80,473.58895700000403,76.0,26.0,4.657607632907457e-12,True
81,520.6399939999997,58.0,44.0,2.206235194535111e-12,True
82,372.0836640000016,65.0,37.0,1.0409451078885468e-12,True
83,338.83612500000027,68.0,34.0,4.796163466380676e-13,True
84,319.97939100000394,74.0,28.0,2.3092638912203256e-13,True
85,286.0238029999991,67.0,35.0,1.0658141036401503e-13,True
86,283.7952670000021,73.0,29.0,4.618527782440651e-14,True
87,280.4965629999998,66.0,36.0,1.4210854715202004e-14,True
88,276.94105099999433,63.0,39.0,3.552713678800501e-15,True
89,282.3123530000018,61.0,41.0,3.552713678800501e-15,True
90,286.5389010000001,69.0,33.0,3.552713678800501e-15,True
91,287.9161520000011,65.0,37.0,3.552713678800501e-15,True
92,335.90384199999335,68.0,34.0,0.0,True
93,340.41680900000415,65.0,37.0,0.0,True
94,321.9135619999989,60.0,42.0,0.0,True
95,315.9061570000006,71.0,31.0,0.0,True
96,332.1895500000025,65.0,37.0,0.0,True
97,367.68509600000243,66.0,36.0,0.0,True
98,346.7778659999965,70.0,32.0,0.0,True
99,472.9883199999989,70.0,32.0,0.0,True
100,348.7813289999977,65.0,37.0,0.0,True
